"","group","Description","pvalue","ratio"
"GO:00973056","C16","response to alcohol",0.0332715589771903,"2/51"
"GO:004885614","C16","anatomical structure development",0.0356459057903208,"5/51"
"GO:190160512","C16","alpha-amino acid metabolic process",0.0366014513505288,"4/51"
"GO:00090696","C16","serine family amino acid metabolic process",0.0429032804545881,"2/51"
"GO:190160710","C16","alpha-amino acid biosynthetic process",0.0440603826046671,"3/51"
"GO:00974352","C16","supramolecular fiber organization",0.0507256749096554,"2/51"
"GO:003250214","C16","developmental process",0.0550123886552539,"5/51"
"GO:20000265","C16","regulation of multicellular organismal development",0.0562041708710534,"2/51"
"GO:00512395","C16","regulation of multicellular organismal process",0.0647899956616842,"2/51"
"GO:00067908","C16","sulfur compound metabolic process",0.0709810000564334,"3/51"
"GO:000727513","C16","multicellular organism development",0.0726214418289945,"4/51"
"GO:004259213","C16","homeostatic process",0.0755008271179997,"4/51"
"GO:004545412","C16","cell redox homeostasis",0.0766996476218622,"3/51"
"GO:00339937","C16","response to lipid",0.0768703454958158,"2/51"
"GO:00994024","C16","plant organ development",0.0768703454958158,"2/51"
"GO:000865210","C16","cellular amino acid biosynthetic process",0.0786503977859758,"3/51"
"GO:00507936","C16","regulation of developmental process",0.0799950959575273,"2/51"
"GO:00094091","C16","response to cold",0.102152592091839,"1/51"
"GO:0048646","C16","anatomical structure formation involved in morphogenesis",0.102152592091839,"1/51"
"GO:00550882","C16","lipid homeostasis",0.102152592091839,"1/51"
"GO:1905393","C16","plant organ formation",0.102152592091839,"1/51"
"GO:00097902","C16","embryo development",0.111786553338066,"1/51"
"GO:00097932","C16","embryo development ending in seed dormancy",0.111786553338066,"1/51"
"GO:00019341","C16","positive regulation of protein phosphorylation",0.121319147146938,"1/51"
"GO:00028313","C16","regulation of response to biotic stimulus",0.121319147146938,"1/51"
"GO:00062841","C16","base-excision repair",0.121319147146938,"1/51"
"GO:00070511","C16","spindle organization",0.121319147146938,"1/51"
"GO:00091121","C16","nucleobase metabolic process",0.121319147146938,"1/51"
"GO:00105621","C16","positive regulation of phosphorus metabolic process",0.121319147146938,"1/51"
"GO:00321013","C16","regulation of response to external stimulus",0.121319147146938,"1/51"
"GO:00321471","C16","activation of protein kinase activity",0.121319147146938,"1/51"
"GO:00336741","C16","positive regulation of kinase activity",0.121319147146938,"1/51"
"GO:00423271","C16","positive regulation of phosphorylation",0.121319147146938,"1/51"
"GO:00458601","C16","positive regulation of protein kinase activity",0.121319147146938,"1/51"
"GO:00459371","C16","positive regulation of phosphate metabolic process",0.121319147146938,"1/51"
"GO:00483663","C16","leaf development",0.121319147146938,"1/51"
"GO:003250114","C16","multicellular organismal process",0.127194195364941,"4/51"
"GO:00097383","C16","abscisic acid-activated signaling pathway",0.1307514189835,"1/51"
"GO:0043624","C16","cellular protein complex disassembly",0.1307514189835,"1/51"
"GO:00439003","C16","regulation of multi-organism process",0.1307514189835,"1/51"
"GO:00712153","C16","cellular response to abscisic acid stimulus",0.1307514189835,"1/51"
"GO:00973063","C16","cellular response to alcohol",0.1307514189835,"1/51"
"GO:19053923","C16","plant organ morphogenesis",0.1307514189835,"1/51"
"GO:00226224","C16","root system development",0.140084403748097,"1/51"
"GO:00483644","C16","root development",0.140084403748097,"1/51"
"GO:001972513","C16","cellular homeostasis",0.143826244944604,"3/51"
"GO:00483677","C16","shoot system development",0.145628166319865,"2/51"
"GO:00081541","C16","actin polymerization or depolymerization",0.149319125880936,"1/51"
"GO:0032984","C16","protein-containing complex disassembly",0.149319125880936,"1/51"
"GO:00483163","C16","seed development",0.149319125880936,"1/51"
"GO:00485844","C16","positive regulation of response to stimulus",0.149319125880936,"1/51"
"GO:00514931","C16","regulation of cytoskeleton organization",0.149319125880936,"1/51"
"GO:000652013","C16","cellular amino acid metabolic process",0.150437611133244,"4/51"
"GO:00000972","C16","sulfur amino acid biosynthetic process",0.158456599465618,"1/51"
"GO:0022411","C16","cellular component disassembly",0.158456599465618,"1/51"
"GO:00488312","C16","regulation of shoot system development",0.158456599465618,"1/51"
"GO:00075686","C16","aging",0.176443806156193,"1/51"
"GO:00090821","C16","branched-chain amino acid biosynthetic process",0.176443806156193,"1/51"
"GO:00094169","C16","response to light stimulus",0.179692901947612,"2/51"
"GO:000962812","C16","response to abiotic stimulus",0.180171975561511,"3/51"
"GO:00065634","C16","L-serine metabolic process",0.185295516564209,"1/51"
"GO:00090705","C16","serine family amino acid biosynthetic process",0.185295516564209,"1/51"
"GO:00090811","C16","branched-chain amino acid metabolic process",0.185295516564209,"1/51"
"GO:00314011","C16","positive regulation of protein modification process",0.185295516564209,"1/51"
"GO:00513471","C16","positive regulation of transferase activity",0.185295516564209,"1/51"
"GO:000110110","C16","response to acid chemical",0.187429874587621,"2/51"
"GO:00093149","C16","response to radiation",0.187429874587621,"2/51"
"GO:00096065","C16","tropism",0.194053933228464,"1/51"
"GO:00302582","C16","lipid modification",0.202720019967943,"1/51"
"GO:00070179","C16","microtubule-based process",0.210908202244319,"2/51"
"GO:00313475","C16","regulation of defense response",0.211294730845555,"1/51"
"GO:00430852","C16","positive regulation of catalytic activity",0.219779010264849,"1/51"
"GO:20002414","C16","regulation of reproductive process",0.219779010264849,"1/51"
"GO:00486089","C16","reproductive structure development",0.226731563828402,"2/51"
"GO:00614589","C16","reproductive system development",0.226731563828402,"2/51"
"GO:00019323","C16","regulation of protein phosphorylation",0.228173793065797,"1/51"
"GO:00090735","C16","aromatic amino acid family biosynthetic process",0.228173793065797,"1/51"
"GO:00094144","C16","response to water deprivation",0.228173793065797,"1/51"
"GO:00105642","C16","regulation of cell cycle process",0.228173793065797,"1/51"
"GO:00423253","C16","regulation of phosphorylation",0.228173793065797,"1/51"
"GO:00435493","C16","regulation of kinase activity",0.228173793065797,"1/51"
"GO:00458593","C16","regulation of protein kinase activity",0.228173793065797,"1/51"
"GO:00030069","C16","developmental process involved in reproduction",0.234680082294369,"2/51"
"GO:00060042","C16","fucose metabolic process",0.236480004619637,"1/51"
"GO:00094154","C16","response to water",0.236480004619637,"1/51"
"GO:00440932","C16","positive regulation of molecular function",0.236480004619637,"1/51"
"GO:00713965","C16","cellular response to lipid",0.236480004619637,"1/51"
"GO:00097918","C16","post-embryonic development",0.242647138094164,"2/51"
"GO:000971914","C16","response to endogenous stimulus",0.244462754372797,"3/51"
"GO:000972514","C16","response to hormone",0.244462754372797,"3/51"
"GO:0007005","C16","mitochondrion organization",0.244698560922802,"1/51"
"GO:00073463","C16","regulation of mitotic cell cycle",0.244698560922802,"1/51"
"GO:001631011","C16","phosphorylation",0.250628432792184,"2/51"
"GO:00464882","C16","phosphatidylinositol metabolic process",0.252830368689941,"1/51"
"GO:00488274","C16","phyllome development",0.252830368689941,"1/51"
"GO:00002261","C16","microtubule cytoskeleton organization",0.260876325446025,"1/51"
"GO:00060995","C16","tricarboxylic acid cycle",0.268837319617567,"1/51"
"GO:00061015","C16","citrate metabolic process",0.268837319617567,"1/51"
"GO:006500815","C16","regulation of biological quality",0.271117896288436,"4/51"
"GO:00104981","C16","proteasomal protein catabolic process",0.276714230622955,"1/51"
"GO:00322701","C16","positive regulation of cellular protein metabolic process",0.276714230622955,"1/51"
"GO:00431611","C16","proteasome-mediated ubiquitin-dependent protein catabolic process",0.276714230622955,"1/51"
"GO:00512471","C16","positive regulation of protein metabolic process",0.276714230622955,"1/51"
"GO:00801346","C16","regulation of response to stress",0.276714230622955,"1/51"
"GO:001003314","C16","response to organic substance",0.282399662556976,"3/51"
"GO:00101547","C16","fruit development",0.2845079289619,"1/51"
"GO:00723505","C16","tricarboxylic acid metabolic process",0.2845079289619,"1/51"
"GO:00091166","C16","nucleoside metabolic process",0.292219276304027,"1/51"
"GO:00508015","C16","ion homeostasis",0.292219276304027,"1/51"
"GO:00513383","C16","regulation of transferase activity",0.292219276304027,"1/51"
"GO:00065116","C16","ubiquitin-dependent protein catabolic process",0.298595032164553,"2/51"
"GO:000960510","C16","response to external stimulus",0.298595032164553,"2/51"
"GO:00192204","C16","regulation of phosphate metabolic process",0.299849125576589,"1/51"
"GO:00511744","C16","regulation of phosphorus metabolic process",0.299849125576589,"1/51"
"GO:00090605","C16","aerobic respiration",0.307398321051345,"1/51"
"GO:19016576","C16","glycosyl compound metabolic process",0.307398321051345,"1/51"
"GO:190170011","C16","response to oxygen-containing compound",0.31055092277127,"2/51"
"GO:00096535","C16","anatomical structure morphogenesis",0.314867698430576,"1/51"
"GO:00098886","C16","tissue development",0.314867698430576,"1/51"
"GO:000699611","C16","organelle organization",0.315026917177816,"4/51"
"GO:00090726","C16","aromatic amino acid family metabolic process",0.322258084932276,"1/51"
"GO:00301545","C16","cell differentiation",0.322258084932276,"1/51"
"GO:00330433","C16","regulation of organelle organization",0.322258084932276,"1/51"
"GO:00199417","C16","modification-dependent protein catabolic process",0.322470835823749,"2/51"
"GO:00436327","C16","modification-dependent macromolecule catabolic process",0.326434457889341,"2/51"
"GO:00092665","C16","response to temperature stimulus",0.329570299374513,"1/51"
"GO:00712297","C16","cellular response to acid chemical",0.329570299374513,"1/51"
"GO:00313994","C16","regulation of protein modification process",0.351045974274766,"1/51"
"GO:00461485","C16","pigment biosynthetic process",0.351045974274766,"1/51"
"GO:19030474","C16","mitotic cell cycle process",0.351045974274766,"1/51"
"GO:00094512","C16","RNA modification",0.358053523568009,"1/51"
"GO:00165674","C16","protein ubiquitination",0.358053523568009,"1/51"
"GO:00442726","C16","sulfur compound biosynthetic process",0.358053523568009,"1/51"
"GO:001605314","C16","organic acid biosynthetic process",0.362497167788511,"3/51"
"GO:004639414","C16","carboxylic acid biosynthetic process",0.362497167788511,"3/51"
"GO:001975215","C16","carboxylic acid metabolic process",0.371911538947443,"5/51"
"GO:00516038","C16","proteolysis involved in cellular protein catabolic process",0.373484945273773,"2/51"
"GO:00442579","C16","cellular protein catabolic process",0.381214087080776,"2/51"
"GO:004343615","C16","oxoacid metabolic process",0.382868645365037,"5/51"
"GO:00066504","C16","glycerophospholipid metabolic process",0.385349372379207,"1/51"
"GO:00091278","C16","purine nucleoside monophosphate biosynthetic process",0.385349372379207,"1/51"
"GO:00091688","C16","purine ribonucleoside monophosphate biosynthetic process",0.385349372379207,"1/51"
"GO:00424406","C16","pigment metabolic process",0.391993539824875,"1/51"
"GO:00453335","C16","cellular respiration",0.391993539824875,"1/51"
"GO:00507904","C16","regulation of catalytic activity",0.391993539824875,"1/51"
"GO:000608215","C16","organic acid metabolic process",0.393829167341669,"5/51"
"GO:00511284","C16","regulation of cellular component organization",0.39856727937733,"1/51"
"GO:00324464","C16","protein modification by small protein conjugation",0.405071322793733,"1/51"
"GO:00650094","C16","regulation of molecular function",0.405071322793733,"1/51"
"GO:000000311","C16","reproduction",0.407956027216963,"2/51"
"GO:002241411","C16","reproductive process",0.407956027216963,"2/51"
"GO:00091569","C16","ribonucleoside monophosphate biosynthetic process",0.417873211073848,"1/51"
"GO:00454906","C16","pectin catabolic process",0.417873211073848,"1/51"
"GO:00464865","C16","glycerolipid metabolic process",0.417873211073848,"1/51"
"GO:00002785","C16","mitotic cell cycle",0.424172482500802,"1/51"
"GO:00301639","C16","protein catabolic process",0.426731622282541,"2/51"
"GO:00159805","C16","energy derivation by oxidation of organic compounds",0.430404911064566,"1/51"
"GO:00091249","C16","nucleoside monophosphate biosynthetic process",0.436571192010375,"1/51"
"GO:00488698","C16","cellular developmental process",0.436571192010375,"1/51"
"GO:004887810","C16","chemical homeostasis",0.436571192010375,"1/51"
"GO:004851810","C16","positive regulation of biological process",0.437854992324596,"2/51"
"GO:00064128","C16","translation",0.438844508596659,"4/51"
"GO:00430438","C16","peptide biosynthetic process",0.44129122937266,"4/51"
"GO:19017019","C16","cellular response to oxygen-containing compound",0.448708056673272,"1/51"
"GO:00064687","C16","protein phosphorylation",0.454679995736496,"1/51"
"GO:00100356","C16","response to inorganic substance",0.454679995736496,"1/51"
"GO:00193187","C16","hexose metabolic process",0.454679995736496,"1/51"
"GO:004222114","C16","response to chemical",0.455834293070775,"3/51"
"GO:00091268","C16","purine nucleoside monophosphate metabolic process",0.460588498013411,"1/51"
"GO:00091678","C16","purine ribonucleoside monophosphate metabolic process",0.460588498013411,"1/51"
"GO:00432078","C16","response to external biotic stimulus",0.460588498013411,"1/51"
"GO:00517078","C16","response to other organism",0.460588498013411,"1/51"
"GO:00517267","C16","regulation of cell cycle",0.460588498013411,"1/51"
"GO:00985428","C16","defense response to other organism",0.460588498013411,"1/51"
"GO:00091528","C16","purine ribonucleotide biosynthetic process",0.477939955691081,"1/51"
"GO:00322685","C16","regulation of cellular protein metabolic process",0.477939955691081,"1/51"
"GO:004426510","C16","cellular macromolecule catabolic process",0.481187083606679,"2/51"
"GO:00059967","C16","monosaccharide metabolic process",0.483601248963409,"1/51"
"GO:00061648","C16","purine nucleotide biosynthetic process",0.483601248963409,"1/51"
"GO:00065088","C16","proteolysis",0.488217656526623,"2/51"
"GO:00066446","C16","phospholipid metabolic process",0.489202341328969,"1/51"
"GO:00091619","C16","ribonucleoside monophosphate metabolic process",0.489202341328969,"1/51"
"GO:000905713","C16","macromolecule catabolic process",0.48954669419382,"3/51"
"GO:00065188","C16","peptide metabolic process",0.489570092720176,"4/51"
"GO:00512465","C16","regulation of protein metabolic process",0.500226426903215,"1/51"
"GO:00436049","C16","amide biosynthetic process",0.503761846147991,"4/51"
"GO:00091239","C16","nucleoside monophosphate metabolic process",0.505650655936613,"1/51"
"GO:00103938","C16","galacturonan metabolic process",0.505650655936613,"1/51"
"GO:00454888","C16","pectin metabolic process",0.505650655936613,"1/51"
"GO:00092609","C16","ribonucleotide biosynthetic process",0.511017155840238,"1/51"
"GO:00463909","C16","ribose phosphate biosynthetic process",0.511017155840238,"1/51"
"GO:00485838","C16","regulation of response to stimulus",0.511017155840238,"1/51"
"GO:00224026","C16","cell cycle process",0.521579371067561,"1/51"
"GO:007252210","C16","purine-containing compound biosynthetic process",0.521579371067561,"1/51"
"GO:00706475","C16","protein modification by small protein conjugation or removal",0.531917817015213,"1/51"
"GO:000597515","C16","carbohydrate metabolic process",0.535223733060908,"5/51"
"GO:00096079","C16","response to biotic stimulus",0.547016059885409,"1/51"
"GO:00002728","C16","polysaccharide catabolic process",0.556815210729435,"1/51"
"GO:004428315","C16","small molecule biosynthetic process",0.564199069468265,"3/51"
"GO:000695213","C16","defense response",0.595521215669489,"2/51"
"GO:004360310","C16","cellular amide metabolic process",0.595910850305767,"4/51"
"GO:00091509","C16","purine ribonucleotide metabolic process",0.598400135640264,"1/51"
"GO:00061639","C16","purine nucleotide metabolic process",0.602777479748481,"1/51"
"GO:000679614","C16","phosphate-containing compound metabolic process",0.613487851765291,"3/51"
"GO:000679314","C16","phosphorus metabolic process",0.622906748521135,"3/51"
"GO:000916512","C16","nucleotide biosynthetic process",0.623972131205716,"1/51"
"GO:000925910","C16","ribonucleotide metabolic process",0.623972131205716,"1/51"
"GO:00062819","C16","DNA repair",0.628076009080424,"1/51"
"GO:003555610","C16","intracellular signal transduction",0.628076009080424,"1/51"
"GO:190129312","C16","nucleoside phosphate biosynthetic process",0.628076009080424,"1/51"
"GO:00070498","C16","cell cycle",0.632135967029246,"1/51"
"GO:190156513","C16","organonitrogen compound catabolic process",0.635856010467299,"2/51"
"GO:00069749","C16","cellular response to DNA damage stimulus",0.636152465783584,"1/51"
"GO:001699913","C16","antibiotic metabolic process",0.647945743445696,"1/51"
"GO:007252111","C16","purine-containing compound metabolic process",0.647945743445696,"1/51"
"GO:000973312","C16","response to auxin",0.651792918736948,"1/51"
"GO:001605212","C16","carbohydrate catabolic process",0.655598868403561,"1/51"
"GO:000975511","C16","hormone-mediated signaling pathway",0.659364025469245,"1/51"
"GO:003287011","C16","cellular response to hormone stimulus",0.659364025469245,"1/51"
"GO:007149511","C16","cellular response to endogenous stimulus",0.659364025469245,"1/51"
"GO:001969310","C16","ribose phosphate metabolic process",0.663088818501206,"1/51"
"GO:00517048","C16","multi-organism process",0.674025233159428,"1/51"
"GO:00150318","C16","protein transport",0.675611561742976,"2/51"
"GO:007131011","C16","cellular response to organic substance",0.677592768161332,"1/51"
"GO:001963713","C16","organophosphate metabolic process",0.68313921729406,"2/51"
"GO:00451848","C16","establishment of protein localization",0.688080302626763,"2/51"
"GO:00511736","C16","positive regulation of nitrogen compound metabolic process",0.691484050130363,"1/51"
"GO:004341215","C16","macromolecule modification",0.694789486417705,"3/51"
"GO:00106046","C16","positive regulation of macromolecule metabolic process",0.701515757586278,"1/51"
"GO:00313257","C16","positive regulation of cellular metabolic process",0.701515757586278,"1/51"
"GO:005511412","C16","oxidation-reduction process",0.708025160641427,"1/51"
"GO:00081049","C16","protein localization",0.709558521319217,"2/51"
"GO:001583310","C16","peptide transport",0.709558521319217,"2/51"
"GO:004288610","C16","amide transport",0.709558521319217,"2/51"
"GO:00098937","C16","positive regulation of metabolic process",0.711227465331167,"1/51"
"GO:00485227","C16","positive regulation of cellular process",0.71752911542012,"1/51"
"GO:000609110","C16","generation of precursor metabolites and energy",0.729730614225228,"1/51"
"GO:000695015","C16","response to stress",0.731835534663494,"4/51"
"GO:000662915","C16","lipid metabolic process",0.751049567060641,"3/51"
"GO:007170512","C16","nitrogen compound transport",0.752993678166599,"2/51"
"GO:000675313","C16","nucleoside phosphate metabolic process",0.760682320052936,"1/51"
"GO:000911713","C16","nucleotide metabolic process",0.760682320052936,"1/51"
"GO:004273711","C16","drug catabolic process",0.760682320052936,"1/51"
"GO:007088712","C16","cellular response to chemical stimulus",0.763317294508312,"1/51"
"GO:00068865","C16","intracellular protein transport",0.771052723266987,"1/51"
"GO:009040712","C16","organophosphate biosynthetic process",0.783397816828687,"1/51"
"GO:003355412","C16","cellular response to stress",0.78578732825887,"1/51"
"GO:190157515","C16","organic substance catabolic process",0.794524328866235,"3/51"
"GO:00346136","C16","cellular protein localization",0.803995513285942,"1/51"
"GO:00707276","C16","cellular macromolecule localization",0.806162012813991,"1/51"
"GO:003303610","C16","macromolecule localization",0.80620683734461,"2/51"
"GO:000597611","C16","polysaccharide metabolic process",0.808305029797838,"1/51"
"GO:000716515","C16","signal transduction",0.811102055068842,"2/51"
"GO:004424815","C16","cellular catabolic process",0.811784562081021,"3/51"
"GO:002305215","C16","signaling",0.814305618761982,"2/51"
"GO:004393310","C16","protein-containing complex subunit organization",0.814595667417899,"1/51"
"GO:00469075","C16","intracellular transport",0.822669270621115,"1/51"
"GO:000646415","C16","cellular protein modification process",0.823634357115531,"2/51"
"GO:003621115","C16","protein modification process",0.823634357115531,"2/51"
"GO:000625912","C16","DNA metabolic process",0.826575788948767,"1/51"
"GO:005508613","C16","nucleobase-containing small molecule metabolic process",0.828497282488548,"1/51"
"GO:001714415","C16","drug metabolic process",0.829623683379733,"2/51"
"GO:190113712","C16","carbohydrate derivative biosynthetic process",0.83039789930582,"1/51"
"GO:00516495","C16","establishment of localization in cell",0.835976701187698,"1/51"
"GO:005171615","C16","cellular response to stimulus",0.849788250082933,"3/51"
"GO:000715415","C16","cell communication",0.860711794205664,"2/51"
"GO:00516416","C16","cellular localization",0.870294577318512,"1/51"
"GO:007170214","C16","organic substance transport",0.877061671652095,"2/51"
"GO:00063967","C16","RNA processing",0.885351270653939,"1/51"
"GO:000905615","C16","catabolic process",0.885748557257958,"3/51"
"GO:000861012","C16","lipid biosynthetic process",0.892827292618324,"1/51"
"GO:004425512","C16","cellular lipid metabolic process",0.916367859959365,"1/51"
"GO:190113514","C16","carbohydrate derivative metabolic process",0.936280873616301,"1/51"
"GO:00159797","C17","photosynthesis",1.54850801594379e-05,"11/95"
"GO:00097654","C17","photosynthesis, light harvesting",4.48797703260193e-05,"5/95"
"GO:00182984","C17","protein-chromophore linkage",0.000373327186820702,"5/95"
"GO:00000793","C17","regulation of cyclin-dependent protein serine/threonine kinase activity",0.00148424096072405,"3/95"
"GO:00719003","C17","regulation of protein serine/threonine kinase activity",0.00148424096072405,"3/95"
"GO:19040293","C17","regulation of cyclin-dependent protein kinase activity",0.00148424096072405,"3/95"
"GO:000597516","C17","carbohydrate metabolic process",0.0029296506321398,"18/95"
"GO:00196845","C17","photosynthesis, light reaction",0.00296035297331999,"5/95"
"GO:000971915","C17","response to endogenous stimulus",0.00430528989539011,"9/95"
"GO:000972515","C17","response to hormone",0.00430528989539011,"9/95"
"GO:00159853","C17","energy coupled proton transport, down electrochemical gradient",0.0068515534133064,"3/95"
"GO:00159863","C17","ATP synthesis coupled proton transport",0.0068515534133064,"3/95"
"GO:001003315","C17","response to organic substance",0.00715561957531238,"9/95"
"GO:00440367","C17","cell wall macromolecule metabolic process",0.0109588587549669,"4/95"
"GO:00019324","C17","regulation of protein phosphorylation",0.0114849620437033,"3/95"
"GO:00104114","C17","xyloglucan metabolic process",0.0114849620437033,"3/95"
"GO:00423254","C17","regulation of phosphorylation",0.0114849620437033,"3/95"
"GO:00435494","C17","regulation of kinase activity",0.0114849620437033,"3/95"
"GO:00458594","C17","regulation of protein kinase activity",0.0114849620437033,"3/95"
"GO:000973313","C17","response to auxin",0.0123635006525145,"6/95"
"GO:00060738","C17","cellular glucan metabolic process",0.0138720132249843,"5/95"
"GO:00440428","C17","glucan metabolic process",0.0138720132249843,"5/95"
"GO:004222115","C17","response to chemical",0.0164308566426262,"10/95"
"GO:00442648","C17","cellular polysaccharide metabolic process",0.018127580741492,"5/95"
"GO:004426210","C17","cellular carbohydrate metabolic process",0.0209573392037596,"6/95"
"GO:19026004","C17","proton transmembrane transport",0.0230770541133368,"3/95"
"GO:00104105","C17","hemicellulose metabolic process",0.0251041725889186,"3/95"
"GO:00513384","C17","regulation of transferase activity",0.0251041725889186,"3/95"
"GO:00097348","C17","auxin-activated signaling pathway",0.0262275844935959,"4/95"
"GO:00713658","C17","cellular response to auxin stimulus",0.0262275844935959,"4/95"
"GO:000646416","C17","cellular protein modification process",0.0271321388879288,"11/95"
"GO:003621116","C17","protein modification process",0.0271321388879288,"11/95"
"GO:00103835","C17","cell wall polysaccharide metabolic process",0.0272243845487802,"3/95"
"GO:00192205","C17","regulation of phosphate metabolic process",0.0272243845487802,"3/95"
"GO:00511745","C17","regulation of phosphorus metabolic process",0.0272243845487802,"3/95"
"GO:00156724","C17","monovalent inorganic cation transport",0.0294374850146103,"3/95"
"GO:000609111","C17","generation of precursor metabolites and energy",0.0317885964245389,"6/95"
"GO:00097534","C17","response to jasmonic acid",0.0349173489506379,"2/95"
"GO:00068129","C17","cation transport",0.0357928355796187,"5/95"
"GO:00067548","C17","ATP biosynthetic process",0.0392109355781138,"3/95"
"GO:00060063","C17","glucose metabolic process",0.0393961768290947,"2/95"
"GO:00447701","C17","cell cycle phase transition",0.0440799973352586,"2/95"
"GO:00447721","C17","mitotic cell cycle phase transition",0.0440799973352586,"2/95"
"GO:00313995","C17","regulation of protein modification process",0.0446421007270448,"3/95"
"GO:00425468","C17","cell wall biogenesis",0.0446421007270448,"3/95"
"GO:000975512","C17","hormone-mediated signaling pathway",0.046750953357707,"5/95"
"GO:003287012","C17","cellular response to hormone stimulus",0.046750953357707,"5/95"
"GO:007149512","C17","cellular response to endogenous stimulus",0.046750953357707,"5/95"
"GO:007088713","C17","cellular response to chemical stimulus",0.0472002680667796,"6/95"
"GO:00091458","C17","purine nucleoside triphosphate biosynthetic process",0.0474911370352396,"3/95"
"GO:00092068","C17","purine ribonucleoside triphosphate biosynthetic process",0.0474911370352396,"3/95"
"GO:00986624","C17","inorganic cation transmembrane transport",0.053451455692267,"3/95"
"GO:007131012","C17","cellular response to organic substance",0.0556806660429919,"5/95"
"GO:190113515","C17","carbohydrate derivative metabolic process",0.0588361067127453,"9/95"
"GO:00091279","C17","purine nucleoside monophosphate biosynthetic process",0.0597544396827961,"3/95"
"GO:00091689","C17","purine ribonucleoside monophosphate biosynthetic process",0.0597544396827961,"3/95"
"GO:00092018","C17","ribonucleoside triphosphate biosynthetic process",0.0597544396827961,"3/95"
"GO:00986556","C17","cation transmembrane transport",0.0597544396827961,"3/95"
"GO:004341216","C17","macromolecule modification",0.0613862993773099,"11/95"
"GO:00091428","C17","nucleoside triphosphate biosynthetic process",0.0630315822124898,"3/95"
"GO:00507905","C17","regulation of catalytic activity",0.0630315822124898,"3/95"
"GO:00986605","C17","inorganic ion transmembrane transport",0.0630315822124898,"3/95"
"GO:00160517","C17","carbohydrate biosynthetic process",0.0642112422181504,"4/95"
"GO:00650095","C17","regulation of molecular function",0.0698310001599197,"3/95"
"GO:00313476","C17","regulation of defense response",0.0702423493290464,"2/95"
"GO:000701710","C17","microtubule-based process",0.0746184871783912,"4/95"
"GO:19016067","C17","alpha-amino acid catabolic process",0.0759611821076119,"2/95"
"GO:000915610","C17","ribonucleoside monophosphate biosynthetic process",0.0769484890272288,"3/95"
"GO:00460348","C17","ATP metabolic process",0.0769484890272288,"3/95"
"GO:000597612","C17","polysaccharide metabolic process",0.0798053704742053,"6/95"
"GO:19011365","C17","carbohydrate derivative catabolic process",0.0818226566588763,"2/95"
"GO:00346377","C17","cellular carbohydrate biosynthetic process",0.0843729501262764,"3/95"
"GO:00070153","C17","actin filament organization",0.0878189488353967,"2/95"
"GO:000912410","C17","nucleoside monophosphate biosynthetic process",0.0881966710654991,"3/95"
"GO:007155413","C17","cell wall organization or biogenesis",0.0891953451273519,"7/95"
"GO:00091448","C17","purine nucleoside triphosphate metabolic process",0.0920927244969071,"3/95"
"GO:00092058","C17","purine ribonucleoside triphosphate metabolic process",0.0920927244969071,"3/95"
"GO:00090637","C17","cellular amino acid catabolic process",0.0939424839855868,"2/95"
"GO:00064688","C17","protein phosphorylation",0.100095688120647,"3/95"
"GO:00300293","C17","actin filament-based process",0.100185930286406,"2/95"
"GO:00300363","C17","actin cytoskeleton organization",0.100185930286406,"2/95"
"GO:190113713","C17","carbohydrate derivative biosynthetic process",0.103324500117769,"6/95"
"GO:00091269","C17","purine nucleoside monophosphate metabolic process",0.104199471655483,"3/95"
"GO:00091679","C17","purine ribonucleoside monophosphate metabolic process",0.104199471655483,"3/95"
"GO:00517268","C17","regulation of cell cycle",0.104199471655483,"3/95"
"GO:00064867","C17","protein glycosylation",0.108369339375975,"3/95"
"GO:00091017","C17","glycoprotein biosynthetic process",0.108369339375975,"3/95"
"GO:00091998","C17","ribonucleoside triphosphate metabolic process",0.108369339375975,"3/95"
"GO:00434137","C17","macromolecule glycosylation",0.108369339375975,"3/95"
"GO:004522912","C17","external encapsulating structure organization",0.110313586710555,"6/95"
"GO:007155512","C17","cell wall organization",0.110313586710555,"6/95"
"GO:00091008","C17","glycoprotein metabolic process",0.116900879232326,"3/95"
"GO:00091529","C17","purine ribonucleotide biosynthetic process",0.116900879232326,"3/95"
"GO:00322686","C17","regulation of cellular protein metabolic process",0.116900879232326,"3/95"
"GO:00086436","C17","carbohydrate transport",0.119565924792191,"2/95"
"GO:00092505","C17","glucan biosynthetic process",0.119565924792191,"2/95"
"GO:00801347","C17","regulation of response to stress",0.119565924792191,"2/95"
"GO:00061649","C17","purine nucleotide biosynthetic process",0.121259294561886,"3/95"
"GO:00070104","C17","cytoskeleton organization",0.121259294561886,"3/95"
"GO:000916110","C17","ribonucleoside monophosphate metabolic process",0.125677284652022,"3/95"
"GO:000679615","C17","phosphate-containing compound metabolic process",0.126207507581986,"9/95"
"GO:00700857","C17","glycosylation",0.130153197621521,"3/95"
"GO:00069285","C17","movement of cell or subcellular component",0.132961406805107,"2/95"
"GO:00070185","C17","microtubule-based movement",0.132961406805107,"2/95"
"GO:000679315","C17","phosphorus metabolic process",0.1340235105402,"9/95"
"GO:00512466","C17","regulation of protein metabolic process",0.13468537564279,"3/95"
"GO:000912310","C17","nucleoside monophosphate metabolic process",0.139272156719117,"3/95"
"GO:000914110","C17","nucleoside triphosphate metabolic process",0.139272156719117,"3/95"
